PHY_Long_PG.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","1-1","1-2","1-3","1-4","1-5","1-6","1-7","1-8","1-9","1-10","1-11","1-12","1-13","1-14","1-15","3-1","3-2","3-3","3-4","3-5","3-6","3-7","3-8","3-9","3-10","3-11","3-12","3-13","3-14","3-15","3-16","5-1","5-2","5-3","5-4","5-5","5-6","5-7","5-8","5-9","5-10","5-11","5-12","5-13","5-14","5-15","7-1","7-2","7-3","7-4","7-5","7-6","7-7","7-8","7-9","7-10","7-11","7-12","7-13","7-14","9-1","9-2","9-3","9-4","11-1","11-2","11-3","11-4","11-5","11-6","11-7","11-8","11-9","11-10","11-11","11-12","11-13","11-14","11-15","11-16","13-1","13-2","13-3","13-4","13-5","13-6","13-7","13-8","13-9","13-10","13-11","13-12","13-13","13-14","13-15","13-16"
"44","2014/03/03 12:00",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,33,0,0,27,0,22,22,22,18,19,0,0,0,0,4,5,3,5,3,3,2,4,3,3,5,5,4,4,3,3,2,3,0,0,1,0,-1,0,0,0,0,-1,-1,0,23,-1,0,3,15,28,28,27,17,15,15,32,16,29,8,15,16,11,27,19
"45","2014/03/03 12:15",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,14,0,0,0,3,21,20,24,21,22,0,0,0,2,4,6,5,6,4,4,4,4,4,4,5,5,5,6,4,4,3,4,0,0,0,0,-1,0,0,0,0,-1,-1,0,41,-1,0,4,17,30,29,29,19,17,17,35,18,30,9,17,17,13,29,20
"46","2014/03/03 12:30",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,16,15,16,16,15,0,0,0,3,3,5,3,4,3,3,3,4,3,4,3,4,4,5,3,3,2,4,0,0,0,0,-1,0,0,0,0,-1,-1,0,38,-1,0,3,15,23,22,22,14,12,13,26,15,21,6,11,12,10,21,13
"47","2014/03/03 12:45",0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,14,14,13,14,13,0,0,0,4,3,4,2,4,3,3,2,3,2,3,3,4,3,4,3,3,2,4,0,0,0,0,-1,0,0,0,0,-1,-1,0,48,-1,0,2,13,19,20,20,13,11,11,23,13,18,5,10,10,8,19,12
"48","2014/03/03 13:00",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,3,0,14,13,12,13,11,0,0,0,3,4,4,3,5,3,3,2,4,4,3,4,4,4,5,3,3,3,3,0,0,0,0,-1,0,0,0,0,-1,-1,0,43,-1,0,3,10,18,19,18,11,10,11,21,11,18,5,10,9,7,17,10
"49","2014/03/03 13:15",0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,16,16,17,16,15,0,0,0,3,4,5,4,6,4,4,4,4,4,4,4,5,4,5,4,5,4,5,0,0,1,0,-1,0,0,0,0,-1,-1,0,34,-1,0,4,13,25,24,23,15,14,15,27,14,23,6,13,13,10,22,15
"50","2014/03/03 13:30",0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,11,10,12,11,10,0,0,0,3,4,5,4,6,4,5,3,4,5,4,4,5,5,5,4,5,3,4,0,0,1,0,-1,0,0,0,0,-1,-1,0,38,-1,0,3,9,19,18,18,10,10,10,18,10,15,4,8,8,7,18,11
"51","2014/03/03 13:45",0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,14,13,14,13,12,0,0,0,5,4,6,5,6,5,5,4,5,5,5,4,6,5,6,5,5,4,5,0,0,1,0,-1,0,0,0,0,-1,-1,0,36,-1,0,4,11,19,20,19,12,12,13,22,12,19,5,10,11,8,20,12
"52","2014/03/03 14:00",0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,11,11,11,13,10,0,0,0,0,3,5,3,5,3,3,3,4,4,3,4,4,4,5,3,4,3,4,0,0,1,0,-1,0,0,0,0,-1,-1,0,43,-1,0,3,10,18,19,18,12,12,12,20,11,16,4,9,9,7,18,11
"53","2014/03/03 14:15",0,0,0,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,18,17,17,16,16,0,0,0,0,5,6,4,5,4,5,4,5,6,5,6,5,5,5,4,5,4,5,0,0,1,0,-1,0,0,0,0,-1,-1,0,42,-1,0,3,13,23,24,23,15,16,17,29,15,24,6,14,13,10,23,15
"54","2014/03/03 14:30",0,0,0,0,0,0,0,0,0,0,0,62,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,15,14,15,13,14,0,0,0,0,5,5,5,5,4,4,3,4,4,3,4,4,4,4,3,4,3,4,0,0,1,0,-1,0,0,0,0,-1,-1,0,21,-1,0,3,12,22,22,20,14,13,13,25,14,20,5,11,11,9,20,14
"55","2014/03/03 14:45",0,0,0,0,0,0,0,0,0,0,0,68,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,16,15,20,18,17,0,0,0,0,6,6,6,7,7,6,5,5,6,5,7,5,5,5,6,6,5,5,0,0,1,0,-1,0,0,0,0,-1,-1,0,1,-1,0,4,13,28,26,25,16,15,16,28,17,22,6,12,13,10,22,15
