LDEV_TransRateFA.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:FA:00(11-1)","00:FA:01(11-1)","00:FA:02(11-1)","00:FA:03(11-1)","00:FA:04(11-1)","00:FA:05(11-1)","00:FA:06(11-1)","00:FA:07(11-1)","00:FA:08(11-1)","00:FA:09(11-2)","00:FA:0A(11-2)","00:FA:0B(11-2)","00:FA:0C(11-2)","00:FA:0D(11-1)","00:FA:0E(11-1)","00:FA:0F(11-1)","00:FA:10(11-1)","00:FA:11(11-1)","00:FA:12(11-2)","00:FA:13(11-2)","00:FA:14(11-2)","00:FA:15(11-2)","00:FA:16(11-2)","00:FA:17(11-2)","00:FA:18(11-2)","00:FA:19(11-2)","00:FA:1A(11-2)","00:FA:1B(11-1)","00:FA:1C(11-1)","00:FA:1D(11-1)","00:FA:1E(11-1)","00:FA:1F(11-2)","00:FA:20(11-2)","00:FA:21(11-2)","00:FA:22(11-2)","00:FA:23(11-2)","00:FA:24(11-3)","00:FA:25(11-3)","00:FA:26(11-3)","00:FA:27(11-3)","00:FA:28(11-3)","00:FA:29(11-3)","00:FA:2A(11-3)","00:FA:2B(11-3)","00:FA:2C(11-3)","00:FA:2D(11-3)","00:FA:2E(11-3)","00:FA:35(11-3)"
"58","2014/04/01 22:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,939,0,0,0,0,0,0,0,0,0,999,855,0,0,0,0,0,0,0,0,0,0
"59","2014/04/01 22:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,155,0,0,0,0,0,0,0,0,0,172,155,0,0,0,0,0,0,0,0,0,0
"60","2014/04/01 22:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,0,1020,0,0,0,0,0,0,0,0,0,1139,912,0,0,0,0,0,0,0,0,0,0
"61","2014/04/01 22:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,0,807,0,0,0,0,0,0,0,0,0,909,716,0,0,0,0,0,0,0,0,0,0
"62","2014/04/01 22:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,186,0,0,0,0,0,0,0,0,0,178,182,0,0,0,0,0,0,0,0,0,0
"63","2014/04/01 22:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,0,967,0,0,0,0,0,0,0,0,0,964,957,0,0,0,0,0,0,0,0,0,0
"64","2014/04/01 22:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,0,837,0,0,0,0,0,0,0,0,0,839,827,0,0,0,0,0,0,0,0,0,0
"65","2014/04/01 22:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,118,0,0,0,0,0,0,0,0,0,121,122,0,0,0,0,0,0,0,0,0,0
"66","2014/04/01 22:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,994,0,0,0,0,0,0,0,0,0,1010,986,0,0,0,0,0,0,0,0,0,0
"67","2014/04/01 22:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,826,0,0,0,0,0,0,0,0,0,832,840,0,0,0,0,0,0,0,0,0,0
"68","2014/04/01 23:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,102,0,0,0,0,0,0,0,0,0,103,104,0,0,0,0,0,0,0,0,0,0
"69","2014/04/01 23:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,0,1077,0,0,0,0,0,0,0,0,0,1092,1080,0,0,0,0,0,0,0,0,0,0
"70","2014/04/01 23:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0,884,0,0,0,0,0,0,0,0,0,912,888,0,0,0,0,0,0,0,0,0,0
"71","2014/04/01 23:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,276,0,0,0,0,0,0,0,0,0,276,290,0,0,0,0,0,0,0,0,0,0
"72","2014/04/01 23:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579,0,1544,0,0,0,0,0,0,0,0,0,1565,1595,0,0,0,0,0,0,0,0,0,0
"73","2014/04/01 23:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393,0,1343,0,0,0,0,0,0,0,0,0,1350,1332,0,0,0,0,0,0,0,0,0,0
"74","2014/04/01 23:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,184,0,0,0,0,0,0,0,0,0,188,192,0,0,0,0,0,0,0,0,0,0
"75","2014/04/01 23:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954,0,973,0,0,0,0,0,0,0,0,0,962,941,0,0,0,0,0,0,0,0,0,0
"76","2014/04/01 23:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,0,781,0,0,0,0,0,0,0,0,0,790,768,0,0,0,0,0,0,0,0,0,0
"77","2014/04/01 23:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,89,0,0,0,0,0,0,0,0,0,89,90,0,0,0,0,0,0,0,0,0,0
"78","2014/04/01 23:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943,0,911,0,0,0,0,0,0,0,0,0,961,911,0,0,0,0,0,0,0,0,0,0
"79","2014/04/01 23:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,0,814,0,0,0,0,0,0,0,0,0,765,804,0,0,0,0,0,0,0,0,0,0
"80","2014/04/02 00:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,134,0,0,0,0,0,0,0,0,0,131,135,0,0,0,0,0,0,0,0,0,0
"81","2014/04/02 00:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,0,988,0,0,0,0,0,0,0,0,0,1008,968,0,0,0,0,0,0,0,0,0,0
"82","2014/04/02 00:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,0,854,0,0,0,0,0,0,0,0,0,789,851,0,0,0,0,0,0,0,0,0,0
"83","2014/04/02 00:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,95,0,0,0,0,0,0,0,0,0,94,92,0,0,0,0,0,0,0,0,0,0
"84","2014/04/02 00:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,0,988,0,0,0,0,0,0,0,0,0,994,996,0,0,0,0,0,0,0,0,0,0
"85","2014/04/02 00:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,0,805,0,0,0,0,0,0,0,0,0,821,795,0,0,0,0,0,0,0,0,0,0
