LDEV_Rnd_Read_Hit05.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:05:01X(X178-1)","00:05:02X(X182-1)","00:05:03X(X185-1)","00:05:04X(X177-1)","00:05:05X(X180-1)","00:05:06(11-8)","00:05:07X(X183-1)","00:05:0AX(X155-1)","00:05:0BX(X152-1)","00:05:0CX(X153-1)","00:05:0DX(X156-1)","00:05:0EX(X151-1)","00:05:0FX(X471-1)","00:05:10X(X537-1)","00:05:11X(X572-1)","00:05:12X(X605-1)","00:05:13X(X607-1)","00:05:16X(X93-1)","00:05:17X(X94-1)","00:05:18X(X42-1)","00:05:19X(X43-1)","00:05:1AX(X44-1)","00:05:1BX(X45-1)","00:05:20X(X61-1)","00:05:21X(X63-1)","00:05:25X(X95-1)","00:05:26X(X89-1)","00:05:27X(X53-1)","00:05:28X(X54-1)","00:05:29X(X59-1)","00:05:2AX(X60-1)","00:05:2BX(X82-1)","00:05:2CX(X83-1)","00:05:2DX(X84-1)","00:05:2EX(X85-1)","00:05:2FX(X86-1)","00:05:30X(X87-1)","00:05:31X(X88-1)","00:05:32X(X92-1)"
"77","2014/04/01 23:48",100,100,100,0,0,0,0,99,99,99,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,92,90,93,93,92,90,90,0,0,0,0,0
"78","2014/04/01 23:53",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,88,96,90,94,82,82,89,0,0,0,0,0
"79","2014/04/01 23:58",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,93,89,92,93,95,90,93,0,0,0,0,0
"80","2014/04/02 00:03",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,97,99,81,98,81,96,98,0,0,0,0,0
"81","2014/04/02 00:08",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,97,80,98,0,100,92,0,0,0,0,0
"82","2014/04/02 00:13",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,93,98,72,100,81,86,89,0,0,0,0,0
"83","2014/04/02 00:18",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,88,93,96,98,97,95,96,0,0,0,0,0
"84","2014/04/02 00:23",100,100,100,0,0,0,0,100,100,100,0,0,100,99,100,100,100,0,0,0,0,0,0,0,0,0,0,57,81,27,78,47,70,71,0,0,0,0,0
"85","2014/04/02 00:28",100,100,100,0,0,0,0,99,99,99,91,91,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,98,100,99,0,85,94,0,0,0,0,0
"86","2014/04/02 00:33",100,100,100,0,0,0,0,99,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,80,87,96,96,96,98,96,0,0,0,0,0
"87","2014/04/02 00:38",100,100,100,0,0,0,0,100,100,100,0,0,100,99,100,100,100,0,0,0,0,0,0,0,0,0,0,98,98,98,97,95,89,87,0,0,0,0,0
"88","2014/04/02 00:43",100,100,100,0,0,0,0,99,99,99,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,95,90,96,18,100,94,0,0,0,0,0
"89","2014/04/02 00:48",99,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,96,91,95,89,91,89,89,0,0,0,0,0
"90","2014/04/02 00:53",99,100,100,0,0,0,0,100,100,100,0,0,100,99,100,100,100,0,0,0,0,0,0,0,0,0,0,100,94,97,90,100,98,97,0,0,0,0,0
"91","2014/04/02 00:58",100,100,100,0,0,0,0,100,100,99,0,0,100,99,100,100,100,0,0,0,0,0,0,0,0,0,0,95,94,84,96,87,89,85,0,0,0,0,0
"92","2014/04/02 01:03",99,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,79,86,70,83,82,85,87,0,0,0,0,0
"93","2014/04/02 01:08",99,100,100,0,0,0,0,100,100,100,0,0,100,99,100,100,100,0,0,0,0,0,0,0,0,0,0,88,93,73,98,80,85,85,0,0,0,0,0
"94","2014/04/02 01:13",100,100,100,0,0,0,0,99,100,99,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,89,93,96,96,100,97,94,0,0,0,0,0
"95","2014/04/02 01:18",100,100,100,0,0,0,0,99,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,95,96,98,96,99,98,93,0,0,0,0,0
"96","2014/04/02 01:23",100,100,100,0,0,0,0,99,99,99,0,50,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,94,95,88,97,89,90,90,0,0,0,0,0
