PHY_Long_DKP.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","DKP40-1AU","DKP41-1AU","DKP42-1AU","DKP43-1AU","DKP50-1BU","DKP51-1BU","DKP52-1BU","DKP53-1BU","DKP44-1AL","DKP45-1AL","DKP46-1AL","DKP47-1AL","DKP54-1BL","DKP55-1BL","DKP56-1BL","DKP57-1BL","DKP60-1LU","DKP61-1LU","DKP62-1LU","DKP63-1LU","DKP70-1KU","DKP71-1KU","DKP72-1KU","DKP73-1KU","DKP64-1LL","DKP65-1LL","DKP66-1LL","DKP67-1LL","DKP74-1KL","DKP75-1KL","DKP76-1KL","DKP77-1KL","DKPC0-2MU","DKPC1-2MU","DKPC2-2MU","DKPC3-2MU","DKPD0-2NU","DKPD1-2NU","DKPD2-2NU","DKPD3-2NU","DKPC4-2ML","DKPC5-2ML","DKPC6-2ML","DKPC7-2ML","DKPD4-2NL","DKPD5-2NL","DKPD6-2NL","DKPD7-2NL","DKPE0-2XU","DKPE1-2XU","DKPE2-2XU","DKPE3-2XU","DKPF0-2WU","DKPF1-2WU","DKPF2-2WU","DKPF3-2WU","DKPE4-2XL","DKPE5-2XL","DKPE6-2XL","DKPE7-2XL","DKPF4-2WL","DKPF5-2WL","DKPF6-2WL","DKPF7-2WL"
"60","2014/03/03 16:00",3,2,2,2,2,2,2,3,12,12,12,13,12,12,12,13,12,12,12,12,12,12,12,12,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,13,13,12,13,12,12,12,13,12,12,12,12,12,12,12,12,3,3,3,3,3,3,3,3
"61","2014/03/03 16:15",3,3,3,3,3,3,3,3,13,12,13,13,12,12,12,13,11,10,10,10,11,10,11,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13,13,13,13,13,12,12,13,11,10,11,10,11,11,11,10,3,3,3,3,3,3,3,3
"62","2014/03/03 16:30",4,4,4,4,4,4,4,4,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2
"63","2014/03/03 16:45",2,2,2,2,2,2,2,2,12,12,12,13,12,12,12,13,6,6,6,6,7,6,6,6,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,13,13,13,12,12,12,12,13,6,6,6,6,7,6,6,6,2,2,2,1,2,2,2,2
"64","2014/03/03 17:00",2,2,2,3,2,2,2,3,16,16,16,16,16,16,16,16,5,5,5,5,5,5,5,4,1,1,1,1,1,1,1,1,2,2,2,3,2,3,2,3,16,16,16,16,16,16,16,16,5,5,4,5,5,5,5,4,1,1,1,1,1,1,1,1
"65","2014/03/03 17:15",2,3,2,3,3,3,2,3,15,15,15,15,15,15,15,15,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,3,15,15,15,15,15,15,15,15,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2
"66","2014/03/03 17:30",3,3,3,3,3,3,2,3,21,21,21,21,21,21,21,21,10,10,11,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3
"67","2014/03/03 17:45",2,2,2,2,2,2,2,2,18,18,18,18,18,17,17,18,9,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,9,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2
"68","2014/03/03 18:00",2,2,2,2,1,2,2,2,14,14,14,14,14,14,14,14,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,14,14,14,14,14,14,14,15,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2
"69","2014/03/03 18:15",2,2,2,2,1,2,1,2,14,14,14,15,14,14,14,15,5,5,5,5,5,5,5,5,2,1,1,1,2,2,2,2,2,1,2,2,1,2,1,2,15,14,15,14,14,14,14,15,5,5,5,5,6,5,5,5,2,1,2,1,2,2,2,2
"70","2014/03/03 18:30",1,1,1,1,1,1,1,1,13,12,12,13,12,12,12,13,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,12,12,13,13,12,12,13,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1
"71","2014/03/03 18:45",1,1,1,1,1,1,1,2,12,12,12,12,12,12,12,13,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,12,12,12,12,12,12,12,13,3,3,3,3,4,3,3,3,1,1,1,1,1,1,1,1
"72","2014/03/03 19:00",1,1,1,1,1,2,1,1,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,10,11,11,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1
